time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-21T02:11:48.221Z,-30.9181,-71.4511,51,5.5,mww,,46,0.29,1.06,us,us6000cr45,2022-03-10T05:48:07.721Z,"42 km SW of Ovalle, Chile",earthquake,5.4,1.6,0.052,35,reviewed,us,us
2020-11-03T02:40:54.919Z,-44.4111,-79.375,10,6,mww,,43,4.334,0.71,us,us7000c9jz,2021-01-18T23:02:05.040Z,"Off the coast of Aisen, Chile",earthquake,8.9,1.8,0.035,78,reviewed,us,us
2020-10-30T18:24:41.629Z,-10.1704,-75.1714,36,5.5,mww,,69,2.439,0.69,us,us7000c84t,2022-03-10T05:46:40.692Z,"51 km NNE of Oxapampa, Peru",earthquake,6.3,1.9,0.098,10,reviewed,us,us
2020-10-30T08:38:41.148Z,10.6312,-43.5286,10,5.9,mww,,39,10.563,0.71,us,us7000c7wh,2021-01-18T23:01:46.040Z,"northern Mid-Atlantic Ridge",earthquake,3.8,1.9,0.042,55,reviewed,us,us
2020-10-28T14:53:11.368Z,-29.3186,-71.2397,50,5.8,mww,,101,0.562,0.57,us,us7000c6u9,2022-03-10T05:45:23.661Z,"64 km N of La Serena, Chile",earthquake,4.1,1.8,0.05,38,reviewed,us,us
2020-10-28T09:02:33.508Z,-14.9365,-75.7131,22,5.6,mww,,122,3.13,0.52,us,us7000c6p3,2021-01-18T23:01:35.040Z,"60 km WSW of Changuillo, Peru",earthquake,7.9,1.9,0.051,37,reviewed,us,us
2020-10-28T04:52:32.177Z,-34.8887,-71.6926,57.62,5.5,mww,,24,0.229,0.77,us,us7000c6lj,2021-01-18T23:01:33.040Z,"34 km W of Rauco, Chile",earthquake,4,3.1,0.05,39,reviewed,us,us
2020-10-25T21:17:14.828Z,-20.0026,-70.9641,10,5.3,mww,,115,0.888,0.67,us,us6000cd2g,2021-01-09T20:05:26.040Z,"88 km WNW of Iquique, Chile",earthquake,4.4,1.8,0.063,24,reviewed,us,us
2020-10-21T09:13:06.593Z,-25.5231,-70.9323,20,5.7,mww,,101,0.691,0.64,us,us6000caj9,2021-01-09T20:05:15.040Z,"46 km WSW of Taltal, Chile",earthquake,5.1,1.8,0.053,34,reviewed,us,us
2020-10-18T06:58:28.688Z,-3.9177,-81.8157,8,5.5,mww,,56,4.585,0.67,us,us6000c950,2020-12-29T23:07:34.040Z,"76 km WNW of El Alto, Peru",earthquake,5.7,1.7,0.039,62,reviewed,us,us
2020-09-20T09:42:16.757Z,2.586,-95.2352,10,5.5,mww,,148,5.913,0.56,us,us7000bqg0,2020-11-28T21:31:57.040Z,"Galapagos Islands, Ecuador region",earthquake,9.5,1.9,0.046,46,reviewed,us,us
2020-09-18T21:43:59.027Z,0.9298,-26.8533,10,6.9,mww,,16,11.255,0.68,us,us7000bq10,2021-06-15T03:46:42.986Z,"central Mid-Atlantic Ridge",earthquake,8.5,1.7,0.032,91,reviewed,us,us
2020-09-17T03:00:18.282Z,7.7831,-37.0931,10,5.7,mww,,36,13.573,0.96,us,us7000bp8n,2020-11-28T21:31:47.040Z,"central Mid-Atlantic Ridge",earthquake,9.7,1.8,0.041,58,reviewed,us,us
2020-09-11T07:35:57.187Z,-21.3968,-69.9096,51,6.2,mww,,72,0.077,0.88,us,us7000blm2,2022-03-10T05:40:19.128Z,"82 km NNE of Tocopilla, Chile",earthquake,6.3,1.9,0.071,19,reviewed,us,us
2020-09-06T06:51:18.470Z,7.6829,-37.1544,10,6.7,mww,,22,15.122,0.72,us,us7000biu8,2020-11-17T19:44:44.040Z,"central Mid-Atlantic Ridge",earthquake,9.2,1.8,0.045,48,reviewed,us,us
2020-09-06T01:16:58.935Z,-30.3388,-71.4912,30,6.3,mww,,32,0.356,1.09,us,us7000biqb,2022-03-10T05:38:26.312Z,"40 km NW of Ovalle, Chile",earthquake,5,1.8,0.042,54,reviewed,us,us
2020-09-04T17:45:21.829Z,8.3579,-82.9722,13.17,5.6,mww,,35,0.347,0.89,us,us7000bi01,2022-03-10T05:38:06.617Z,"11 km WSW of Finca Blanco, Panama",earthquake,5,2.8,0.037,71,reviewed,us,us
2020-09-01T21:09:17.852Z,-27.9162,-71.3701,16,6.5,mww,,49,0.388,0.9,us,us7000bg4v,2022-03-10T05:37:20.437Z,"94 km NW of Vallenar, Chile",earthquake,4.3,1.6,0.071,19,reviewed,us,us
2020-09-01T10:31:52.471Z,-27.8691,-71.3922,22,5.7,mww,,130,0.436,0.71,us,us7000bfq3,2020-11-07T18:48:43.040Z,"99 km NW of Vallenar, Chile",earthquake,4.1,1.3,0.061,26,reviewed,us,us
2020-09-01T07:01:25.574Z,-27.9964,-71.3814,18.11,5.8,mww,,86,0.341,1.04,us,us7000bfmj,2020-11-07T18:48:42.040Z,"88 km NW of Vallenar, Chile",earthquake,3.7,2.6,0.078,16,reviewed,us,us
